pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR111,Bago,MMR008D002,Thayarwady,MMR008011,Zigon,18210,14743,3467,66666,857,64077,3446,2236,1123,1364,1047,30599,1568,990,474,622,458,33478,1878,1246,649,742,589
MMR111,Bago,MMR008D002,Thayarwady,MMR008012,Nattalin,45769,37530,8239,169947,2194,164733,7408,4345,2538,2729,2324,78717,3366,1884,1068,1229,1028,86016,4042,2461,1470,1500,1296
MMR111,Bago,MMR008D002,Thayarwady,MMR008013,Monyo,33287,27448,5839,126181,1389,123188,4382,2455,1508,1808,1614,58675,1989,1025,661,818,745,64513,2393,1430,847,990,869
MMR111,Bago,MMR008D002,Thayarwady,MMR008014,Gyobingauk,30586,24739,5847,115727,1706,110603,6830,4440,2088,2764,2547,52728,3021,1904,849,1155,1084,57875,3809,2536,1239,1609,1463
MMR009,Magway,MMR009D001,Magway,MMR009001,Magway,68677,52895,15782,273929,15318,279414,9833,4871,2782,4282,3084,130780,4323,2002,1069,1975,1344,148634,5510,2869,1713,2307,1740
MMR009,Magway,MMR009D001,Magway,MMR009002,Yenangyaung,32500,22295,10205,129995,4232,127880,6347,2898,1936,2746,2099,57609,2619,1055,706,1174,872,70271,3728,1843,1230,1572,1227
MMR009,Magway,MMR009D001,Magway,MMR009003,Chauk,44618,30933,13685,181519,3670,177555,7634,3915,2420,3009,2026,79150,3235,1513,915,1305,855,98405,4399,2402,1505,1704,1171
MMR009,Magway,MMR009D001,Magway,MMR009004,Taungdwingyi,60263,46469,13794,254188,5672,246375,13485,7601,3515,5809,4700,116777,5929,3194,1408,2508,2041,129598,7556,4407,2107,3301,2659
MMR009,Magway,MMR009D001,Magway,MMR009005,Myothit,36948,28420,8528,156984,2527,150678,8833,5113,2403,3604,2565,70251,3788,2081,962,1507,1055,80427,5045,3032,1441,2097,1510
MMR009,Magway,MMR009D001,Magway,MMR009006,Natmauk,48426,35033,13393,202962,4034,198028,8968,4841,2693,3974,3062,88977,3797,1954,1034,1685,1267,109051,5171,2887,1659,2289,1795
MMR009,Magway,MMR009D002,Minbu,MMR009007,Minbu,43817,33703,10114,172845,15337,179681,8501,4693,2302,3668,2419,84634,3628,1859,856,1575,989,95047,4873,2834,1446,2093,1430
